Bolivar Elementary,445 Nuckolls Rd,Bolivar,Tn,38008,PK - 5
Bolivar Middle School,915 Pruitt St,Bolivar,Tn ,38008,8-Jun
Central High School,313 Harris  St,Bolivar,Tn,38008,12-Sep
Grand Junction Elementary,750 Pledge St,Grand Junction,Tn,38039-6392,PK - 6
Home School,10815 Old Hwy 64,Bolivar,Tn,38008,K - 12
HomeBound,10815 Old Hwy 64,Bolivar,Tn,38008,K - 12
Middleton Elementary,180 Robin Cr.,Middleton ,Tn,38052,PK -6
Hornsby Elementary,50 Church St,Hornsby,Tn,38044,K - 8
Middleton High School,138 Florida Ave,Middleton Tn,Tn,38052,12-Jul
Toone Elementary,160 Neely St,Toone,Tn,38381,K - 8
Whiteville Elementary,2510 Highway 64 East,Whiteville,Tn,38075,PK - 8
